Date,Store/Product,Value
25-04-2023,LOS_ANGELES-TESLA_MODEL_X,2926
24-03-2023,LOS_ANGELES-TESLA_MODEL_X,2687.531
22-03-2023,LOS_ANGELES-TESLA_MODEL_X,2793
23-04-2023,LOS_ANGELES-TESLA_MODEL_X,2394
06-04-2023,LOS_ANGELES-TESLA_MODEL_X,2660
16-05-2023,LOS_ANGELES-TESLA_MODEL_X,2527
25-11-2023,LOS_ANGELES-TESLA_MODEL_X,2527
06-01-2023,LOS_ANGELES-TESLA_MODEL_X,2793
09-06-2023,LOS_ANGELES-TESLA_MODEL_X,2793
12-02-2023,LOS_ANGELES-TESLA_MODEL_X,2793
16-03-2023,LOS_ANGELES-TESLA_MODEL_X,2926
14-06-2023,LOS_ANGELES-TESLA_MODEL_X,2793
15-12-2023,LOS_ANGELES-TESLA_MODEL_X,2869.8208
24-01-2023,LOS_ANGELES-TESLA_MODEL_X,3325
07-05-2023,LOS_ANGELES-TESLA_MODEL_X,2261
08-01-2023,LOS_ANGELES-TESLA_MODEL_X,2261
28-01-2023,LOS_ANGELES-TESLA_MODEL_X,2253.685
18-01-2023,LOS_ANGELES-TESLA_MODEL_X,2394
24-07-2023,LOS_ANGELES-TESLA_MODEL_X,2394
23-11-2023,LOS_ANGELES-TESLA_MODEL_X,2394
11-05-2023,LOS_ANGELES-TESLA_MODEL_X,2527
21-12-2023,LOS_ANGELES-TESLA_MODEL_X,2793
28-02-2023,LOS_ANGELES-TESLA_MODEL_X,2660
04-09-2023,LOS_ANGELES-TESLA_MODEL_X,2547.1362
21-02-2023,LOS_ANGELES-TESLA_MODEL_X,2926
21-12-2023,LOS_ANGELES-TESLA_MODEL_X,2926
20-10-2023,LOS_ANGELES-TESLA_MODEL_X,3059
11-11-2023,LOS_ANGELES-TESLA_MODEL_X,2853.1027
15-10-2023,LOS_ANGELES-TESLA_MODEL_X,2793
12-04-2023,LOS_ANGELES-TESLA_MODEL_X,2793
14-03-2023,LOS_ANGELES-TESLA_MODEL_X,2816.4745
03-06-2023,LOS_ANGELES-TESLA_MODEL_X,2231.1548
23-06-2023,LOS_ANGELES-TESLA_MODEL_X,5212.004
02-09-2023,LOS_ANGELES-TESLA_MODEL_X,5032.853
11-01-2023,LOS_ANGELES-TESLA_MODEL_X,2253.685
02-05-2023,LOS_ANGELES-TESLA_MODEL_X,2261
28-03-2023,LOS_ANGELES-TESLA_MODEL_X,2261
13-04-2023,LOS_ANGELES-TESLA_MODEL_X,2253.685
05-11-2023,LOS_ANGELES-TESLA_MODEL_X,2253.685
07-08-2023,LOS_ANGELES-TESLA_MODEL_X,2394
22-08-2023,LOS_ANGELES-TESLA_MODEL_X,2527
21-12-2023,LOS_ANGELES-TESLA_MODEL_X,2380.1148
14-10-2023,LOS_ANGELES-TESLA_MODEL_X,2660
21-04-2023,LOS_ANGELES-TESLA_MODEL_X,2380.1148
20-05-2023,LOS_ANGELES-TESLA_MODEL_X,2793
22-10-2023,LOS_ANGELES-TESLA_MODEL_X,3059
24-02-2023,LOS_ANGELES-TESLA_MODEL_X,3040.0076
17-10-2023,LOS_ANGELES-TESLA_MODEL_X,2926
10-04-2023,LOS_ANGELES-TESLA_MODEL_X,2926
12-06-2023,LOS_ANGELES-TESLA_MODEL_X,2660
05-07-2023,LOS_ANGELES-TESLA_MODEL_X,2793
26-11-2023,LOS_ANGELES-TESLA_MODEL_X,2510.7208
07-06-2023,LOS_ANGELES-TESLA_MODEL_X,5105.0587
27-10-2023,LOS_ANGELES-TESLA_MODEL_X,3667.6346
14-05-2023,LOS_ANGELES-TESLA_MODEL_X,2300.0488
15-07-2023,LOS_ANGELES-TESLA_MODEL_X,2775.3642
14-01-2023,LOS_ANGELES-TESLA_MODEL_X,2582.062
06-07-2023,LOS_ANGELES-TESLA_MODEL_X,2527
23-05-2023,LOS_ANGELES-TESLA_MODEL_X,2394
18-01-2023,LOS_ANGELES-TESLA_MODEL_X,2793
10-07-2023,LOS_ANGELES-TESLA_MODEL_X,2793
02-07-2023,LOS_ANGELES-TESLA_MODEL_X,2793
08-03-2023,LOS_ANGELES-TESLA_MODEL_X,3021.0152
24-12-2023,LOS_ANGELES-TESLA_MODEL_X,4752.09
09-11-2023,LOS_ANGELES-TESLA_MODEL_X,2082.514
26-04-2023,LOS_ANGELES-TESLA_MODEL_X,2042.8135
22-07-2023,LOS_ANGELES-TESLA_MODEL_X,2201.6022
28-11-2023,LOS_ANGELES-TESLA_MODEL_X,2246.0774
13-11-2023,LOS_ANGELES-TESLA_MODEL_X,2171.757
15-10-2023,LOS_ANGELES-TESLA_MODEL_X,2042.8135
07-01-2023,LOS_ANGELES-TESLA_MODEL_X,2261
15-03-2023,LOS_ANGELES-TESLA_MODEL_X,2231.1548
26-10-2023,LOS_ANGELES-TESLA_MODEL_X,2386.3525
12-10-2023,LOS_ANGELES-TESLA_MODEL_X,2394
19-10-2023,LOS_ANGELES-TESLA_MODEL_X,2394
24-10-2023,LOS_ANGELES-TESLA_MODEL_X,2527
04-06-2023,LOS_ANGELES-TESLA_MODEL_X,2527
26-12-2023,LOS_ANGELES-TESLA_MODEL_X,2660
08-06-2023,LOS_ANGELES-TESLA_MODEL_X,2660
23-12-2023,LOS_ANGELES-TESLA_MODEL_X,5042.961
01-02-2023,LOS_ANGELES-TESLA_MODEL_X,2176.5051
15-03-2023,LOS_ANGELES-TESLA_MODEL_X,2331.9023
26-09-2023,LOS_ANGELES-TESLA_MODEL_X,2527
11-12-2023,LOS_ANGELES-TESLA_MODEL_X,2261
22-09-2023,LOS_ANGELES-TESLA_MODEL_X,2519.02
05-04-2023,LOS_ANGELES-TESLA_MODEL_X,4927.5968
05-03-2023,LOS_ANGELES-TESLA_MODEL_X,2784.355
01-09-2023,LOS_ANGELES-TESLA_MODEL_X,2394
28-03-2023,LOS_ANGELES-TESLA_MODEL_X,2527
10-09-2023,LOS_ANGELES-TESLA_MODEL_X,2527
11-12-2023,LOS_ANGELES-TESLA_MODEL_X,2331.9023
20-11-2023,LOS_ANGELES-TESLA_MODEL_X,2527
13-12-2023,LOS_ANGELES-TESLA_MODEL_X,2378.3991
15-02-2023,LOS_ANGELES-TESLA_MODEL_X,2142.2044
17-11-2023,LOS_ANGELES-TESLA_MODEL_X,2201.6022
10-05-2023,LOS_ANGELES-TESLA_MODEL_X,2231.1548
